COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20170101,P,94,75,84,91,131,237,477,721,1061,1694,2593,2739,2686,2335,2208,1995,1985,1608,1292,1070,755,499,304,181,01/01/2017
000106,20170101,S,77,95,77,68,80,157,389,1221,1304,1158,1328,1460,1500,1481,1467,1379,1221,965,855,804,550,356,270,176,01/01/2017
000106,20170102,P,123,84,108,99,177,348,628,989,1454,2076,2687,2599,2505,2482,2621,1505,2107,2246,1565,1098,793,387,236,123,01/02/2017
000106,20170102,S,98,91,82,91,118,202,590,1512,1826,1719,1760,1932,1753,1462,1292,1338,1210,822,544,450,410,353,264,150,01/02/2017
000106,20170103,P,115,83,59,99,92,265,484,724,1002,865,1195,1191,981,1105,1590,1208,1309,1118,533,186,9,10,10,12,01/03/2017
000106,20170103,S,120,107,77,65,113,175,344,715,1431,1146,1075,588,1216,1047,944,1059,953,743,555,14,8,4,13,33,01/03/2017
000106,20170104,P,8,257,116,89,119,190,302,446,591,692,765,452,814,678,918,1004,590,892,69,884,317,196,122,97,01/04/2017
000106,20170104,S,425,116,102,73,125,172,371,897,1218,1151,1032,851,924,795,810,740,715,405,455,509,422,354,251,205,01/04/2017
000106,20170105,P,96,81,78,76,66,74,29,19,116,413,412,758,692,838,997,1173,1187,926,624,466,349,208,132,96,01/05/2017
000106,20170105,S,116,142,99,73,87,84,291,643,1096,1220,667,682,790,696,752,1035,901,717,575,503,483,366,341,257,01/05/2017
000106,20170106,P,81,68,67,71,90,161,311,443,694,849,1186,1388,1286,1577,1726,1688,1653,1261,876,1016,733,355,193,134,01/06/2017
000106,20170106,S,133,121,98,97,111,169,348,467,1771,1185,1653,1715,1380,1331,1326,1510,1898,1930,1731,1749,1579,1093,593,373,01/06/2017
000106,20170107,P,74,65,77,87,131,208,383,690,865,1113,1471,1590,1577,1873,2231,2510,1734,1746,2006,1231,832,492,267,158,01/07/2017
000106,20170107,S,213,116,97,81,107,213,1404,1789,1736,1532,1571,1714,1805,1912,1328,1307,1192,1059,839,641,503,423,290,200,01/07/2017
000106,20170108,P,90,69,78,72,122,206,322,563,1074,1488,2088,1971,1802,1766,1582,1549,1498,1239,253,423,1510,911,640,234,01/08/2017
000106,20170108,S,118,114,94,72,62,95,640,1583,1537,1499,1107,1026,973,948,973,658,830,683,616,452,351,161,238,130,01/08/2017
000106,20170109,P,1188,186,159,150,221,557,826,913,1005,1052,1010,1061,1114,1096,1155,983,952,614,440,261,218,302,120,35,01/09/2017
000106,20170109,S,98,87,100,71,103,192,325,843,1161,1085,941,609,697,677,579,618,642,509,387,409,411,302,217,198,01/09/2017
000106,20170110,P,29,70,30,157,53,144,184,257,421,357,4,6,10,11,34,368,1693,1444,769,269,535,224,120,88,01/10/2017
000106,20170110,S,2,3,234,123,72,150,237,884,1162,671,4,1,3,10,58,646,600,522,382,325,342,303,224,142,01/10/2017
000106,20170111,P,76,85,76,76,101,143,262,455,571,724,715,751,757,1191,1007,24,527,417,464,454,695,58,18,219,01/11/2017
000106,20170111,S,117,86,56,63,128,176,228,1097,1381,1241,952,886,753,680,709,725,694,69,90,194,100,595,261,271,01/11/2017
