COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20110101,P,50,47,43,62,92,217,367,635,178,430,1767,1806,1982,2072,1743,1799,1707,982,772,621,447,267,172,131,01/01/2011
000106,20110101,S,63,38,55,52,66,80,170,590,712,684,886,1037,1053,1057,1118,1106,944,706,525,460,380,250,211,141,01/01/2011
000106,20110102,P,71,67,66,100,152,244,523,719,987,1758,2567,2760,2308,1876,1972,1686,1438,1194,1111,981,746,384,207,199,01/02/2011
000106,20110102,S,113,60,48,41,85,102,294,1179,1439,1248,1240,1185,1161,1109,1122,1075,962,813,750,686,554,414,246,171,01/02/2011
000106,20110103,P,119,60,59,83,116,194,441,612,757,942,1072,1196,1238,1358,1626,1862,1926,1380,781,532,389,224,115,94,01/03/2011
000106,20110103,S,100,85,60,68,121,198,347,921,1568,1546,1629,1129,983,151,1605,1053,847,718,534,488,402,274,266,198,01/03/2011
000106,20110104,P,67,58,48,58,83,146,272,444,570,700,821,832,928,991,1286,1488,1513,935,548,363,295,179,148,127,01/04/2011
000106,20110104,S,109,76,61,65,105,187,332,772,1256,1379,1040,742,757,735,774,699,683,611,488,432,393,302,280,183,01/04/2011
000106,20110105,P,70,54,43,54,81,137,166,372,557,665,842,803,868,1019,1305,1508,1430,1019,585,442,276,210,143,103,01/05/2011
000106,20110105,S,108,96,59,73,90,154,356,628,982,1485,1535,1183,880,848,910,846,834,662,554,551,375,346,302,221,01/05/2011
000106,20110106,P,64,55,55,57,57,126,213,376,598,709,758,822,837,1030,1282,1535,1497,1160,674,456,333,247,141,99,01/06/2011
000106,20110106,S,107,85,61,80,94,162,334,831,1294,1474,1135,937,734,808,776,878,908,733,690,618,537,406,355,255,01/06/2011
000106,20110107,P,65,58,56,57,100,143,247,445,639,847,1003,919,1064,1251,1599,1843,1845,1473,898,629,374,282,188,120,01/07/2011
000106,20110107,S,137,97,71,64,115,135,363,914,1516,1851,1368,1038,898,957,1072,1295,1628,1558,1264,2231,1400,858,526,268,01/07/2011
000106,20110108,P,65,61,70,57,95,161,346,704,814,1193,1536,1419,1327,1674,2139,2413,1987,1401,1046,837,563,380,197,97,01/08/2011
000106,20110108,S,176,93,65,65,94,139,765,1858,1709,1746,1727,1743,1060,1066,1085,1106,1261,964,766,631,458,367,276,180,01/08/2011
000106,20110109,P,66,44,39,47,80,130,298,557,877,1386,1893,1944,1797,1319,1791,1142,1328,920,787,910,585,304,116,75,01/09/2011
000106,20110109,S,123,70,62,36,43,71,215,824,1083,937,697,745,676,723,757,753,559,433,380,369,205,184,154,114,01/09/2011
000106,20110110,P,46,19,41,41,91,193,410,531,659,667,769,950,909,1023,1147,1143,1057,780,416,293,192,132,89,78,01/10/2011
000106,20110110,S,93,59,41,48,90,142,232,452,733,742,771,794,619,616,601,617,536,413,389,291,239,193,161,227,01/10/2011
000106,20110111,P,37,41,31,52,60,121,222,340,351,642,673,735,665,808,896,1072,1026,763,536,326,203,169,112,94,01/11/2011
000106,20110111,S,114,66,38,52,79,124,313,515,795,966,828,669,590,611,570,621,655,468,457,359,302,270,226,157,01/11/2011
000106,20110112,P,66,41,37,47,67,110,208,378,486,605,683,739,753,829,1068,1243,1187,922,553,394,244,182,130,92,01/12/2011
000106,20110112,S,104,74,58,39,82,161,313,664,1097,1056,939,735,681,700,670,742,681,612,483,476,386,327,308,231,01/12/2011
000106,20110113,P,51,53,51,52,80,127,206,409,486,720,695,689,808,1053,1180,1390,1553,935,685,492,299,226,152,101,01/13/2011
000106,20110113,S,111,99,58,69,94,148,341,754,1137,1371,1085,905,774,805,928,917,926,834,734,838,655,530,512,414,01/13/2011
000106,20110114,P,77,52,45,61,72,126,193,388,563,730,831,839,975,1101,1409,1695,1666,1239,780,504,400,239,162,104,01/14/2011
000106,20110114,S,250,158,118,70,93,155,361,1001,1614,1580,1401,1195,1017,1208,1352,1607,2034,2121,2024,2072,2116,1264,777,498,01/14/2011
000106,20110115,P,62,57,53,42,72,106,215,439,579,894,982,1034,1116,1501,1854,1920,1799,1469,1021,798,541,344,171,108,01/15/2011
000106,20110115,S,255,168,90,81,77,137,821,1878,1860,1899,1871,1835,1718,1424,1345,1367,1290,1053,850,737,566,419,325,196,01/15/2011
000106,20110116,P,79,56,41,47,59,76,190,384,700,1217,1599,1757,2056,2034,2187,2032,1588,1692,1226,1137,838,448,212,99,01/16/2011
000106,20110116,S,112,75,52,47,38,84,408,1615,1497,1565,1542,1123,1004,911,961,922,829,638,621,512,378,275,228,153,01/16/2011
000106,20110117,P,68,47,44,72,106,229,521,854,863,1036,1153,1430,2142,2299,1541,1263,1364,1060,933,1150,1368,1249,508,121,01/17/2011
000106,20110117,S,72,72,40,76,128,163,344,1028,1103,986,1311,1126,710,564,581,543,472,461,341,305,175,246,171,119,01/17/2011
000106,20110119,P,62,43,46,46,55,118,213,350,431,508,497,593,598,814,822,1013,967,694,418,244,201,100,95,62,01/19/2011
000106,20110119,S,102,66,48,53,86,125,329,834,1053,919,734,491,529,568,589,544,410,273,264,329,332,254,230,179,01/19/2011
000106,20110120,P,66,50,42,40,53,81,197,293,446,545,446,804,740,1011,1222,1484,1531,1047,720,454,328,216,145,91,01/20/2011
000106,20110120,S,119,75,54,65,72,134,299,814,1264,1288,1122,803,730,680,730,803,823,782,704,746,625,532,428,329,01/20/2011
000106,20110121,P,60,57,41,57,52,100,187,349,467,650,740,738,916,902,1414,1764,1863,1595,967,590,417,257,166,99,01/21/2011
000106,20110121,S,186,124,48,62,107,130,288,1033,1261,1422,1409,1143,1032,1388,1152,1374,1779,1985,1789,2102,1697,1076,698,415,01/21/2011
000106,20110122,P,66,45,32,45,54,93,195,325,494,691,762,864,1038,1284,1356,1243,1175,1342,1231,944,506,360,163,84,01/22/2011
000106,20110122,S,240,102,75,70,54,135,582,1292,1553,1368,1375,1312,1395,1102,1337,1021,898,856,576,571,436,274,204,136,01/22/2011
000106,20110123,P,70,50,40,33,71,110,255,488,767,1344,1903,2379,2408,1837,1793,1525,1472,1695,1535,960,968,713,290,97,01/23/2011
000106,20110123,S,87,44,52,35,45,83,561,2111,1983,1131,956,891,806,838,793,813,742,622,303,257,308,15,1,5,01/23/2011
000106,20110124,P,52,34,44,55,98,333,705,272,1187,982,888,875,846,983,1083,1153,1150,787,472,298,226,134,117,70,01/24/2011
000106,20110124,S,2,5,9,8,136,272,406,149,1503,1096,807,676,596,629,617,627,594,494,410,349,301,201,174,140,01/24/2011
000106,20110125,P,44,28,41,42,51,114,208,368,508,606,659,602,694,944,1040,1075,1047,662,426,296,212,160,135,95,01/25/2011
000106,20110125,S,93,70,48,53,96,154,323,696,978,956,750,636,567,537,595,566,590,508,424,363,287,243,238,127,01/25/2011
000106,20110126,P,47,35,33,41,63,102,216,371,502,635,584,631,747,854,1043,1117,1160,746,525,360,252,162,135,101,01/26/2011
000106,20110126,S,70,71,52,45,79,157,320,733,1017,964,814,682,619,640,652,725,703,629,527,427,340,318,356,225,01/26/2011
000106,20110127,P,51,45,54,54,68,116,233,424,552,593,684,674,729,963,1127,1389,1297,896,618,460,329,207,163,112,01/27/2011
000106,20110127,S,117,77,57,77,97,184,370,838,1185,1122,1174,860,803,651,782,1277,1041,858,890,869,646,554,424,353,01/27/2011
000106,20110128,P,63,44,65,65,86,100,239,475,652,749,798,862,881,1071,1567,1654,1718,1240,785,842,458,292,155,121,01/28/2011
000106,20110128,S,171,132,106,66,116,159,377,1176,1735,1738,1593,1298,1138,1271,1547,1734,2080,2339,2028,2364,1825,1166,688,362,01/28/2011
000106,20110129,P,71,43,48,44,75,109,236,516,727,939,1036,1110,1156,1479,2071,2218,2057,1601,1277,1016,737,455,282,146,01/29/2011
000106,20110129,S,209,115,85,61,101,183,1050,1671,1587,1715,1842,2121,2159,1320,1252,1308,1225,1078,840,696,488,363,234,151,01/29/2011
000106,20110130,P,94,69,58,58,66,142,304,589,916,1719,2525,2638,2548,1654,1461,2057,2202,1658,1739,1440,1279,629,409,240,01/30/2011
000106,20110130,S,103,74,55,59,45,88,521,1414,1475,1207,1087,1186,1027,1045,1040,1023,924,782,647,500,366,290,177,122,01/30/2011
000106,20110131,P,100,54,55,69,108,287,556,771,869,999,1019,1004,918,918,922,855,727,515,366,225,152,116,66,65,01/31/2011
000106,20110131,S,75,64,52,55,124,180,316,439,483,631,682,544,498,460,488,447,430,367,340,352,187,191,132,93,01/31/2011
000106,20110201,P,42,38,40,52,59,100,182,287,377,432,508,511,476,527,564,571,549,442,316,241,162,100,96,69,02/01/2011
000106,20110201,S,80,61,48,60,51,92,199,309,322,316,482,385,411,450,474,517,481,391,304,240,214,164,132,114,02/01/2011
000106,20110202,P,34,38,35,29,41,115,177,296,385,498,528,566,606,623,668,671,681,586,386,279,210,155,114,79,02/02/2011
000106,20110202,S,82,52,41,47,58,93,196,307,457,495,588,550,528,586,616,662,599,547,472,380,338,276,295,177,02/02/2011
000106,20110203,P,59,40,39,52,65,113,185,335,428,590,557,616,730,739,888,1053,1054,740,480,360,243,170,108,78,02/03/2011
000106,20110203,S,121,84,66,63,76,147,309,623,895,966,891,763,751,733,789,810,857,694,611,708,665,578,448,356,02/03/2011
000106,20110204,P,54,47,36,54,75,127,212,385,526,594,759,790,835,1191,1358,1728,1533,1080,579,699,344,240,124,117,02/04/2011
000106,20110204,S,181,129,86,56,92,136,300,920,1409,1621,1457,1245,1100,1155,1200,1391,1864,1832,1726,1711,1644,908,633,350,02/04/2011
000106,20110205,P,53,57,46,62,61,88,231,423,478,672,938,892,796,797,1185,1233,830,971,927,1292,826,21,363,90,02/05/2011
000106,20110205,S,211,166,65,64,67,113,498,950,907,1428,1307,889,743,820,1013,1114,877,757,1513,623,371,320,200,127,02/05/2011
000106,20110206,P,49,50,45,45,83,140,281,296,1234,1496,1705,1838,1779,1247,1794,1273,1212,1522,639,651,758,606,213,90,02/06/2011
000106,20110206,S,79,64,45,40,39,57,181,479,1800,1130,777,753,741,920,834,740,486,375,322,236,170,218,175,117,02/06/2011
000106,20110207,P,49,29,32,67,104,310,433,1113,792,845,1049,855,1160,1292,1173,1164,1135,944,480,362,215,71,63,37,02/07/2011
000106,20110207,S,79,63,39,48,96,173,236,747,925,1063,827,724,617,488,632,602,520,516,402,354,299,241,175,31,02/07/2011
000106,20110208,P,25,15,28,42,49,91,132,265,274,401,468,426,479,625,697,819,812,599,362,243,187,131,100,70,02/08/2011
000106,20110208,S,5,60,80,41,48,94,115,564,550,480,533,407,374,393,457,408,413,365,313,256,220,174,161,172,02/08/2011
000106,20110209,P,47,35,46,43,70,132,210,440,463,579,633,736,777,774,890,954,1063,814,517,320,237,191,124,82,02/09/2011
000106,20110209,S,98,65,57,38,68,112,232,600,684,894,963,840,643,643,716,726,661,585,458,471,433,377,311,231,02/09/2011
000106,20110210,P,63,51,37,49,56,115,255,385,542,650,677,710,774,886,1066,1233,1236,887,608,422,293,191,135,117,02/10/2011
000106,20110210,S,147,105,78,76,81,164,321,809,1137,1248,1015,788,751,765,861,941,986,848,745,770,605,525,475,332,02/10/2011
000106,20110211,P,49,48,43,54,87,131,263,419,630,694,814,825,985,1149,1743,2076,1898,1426,965,615,442,242,141,111,02/11/2011
000106,20110211,S,190,123,101,70,74,166,409,1179,1673,1773,1565,1085,1000,1119,1353,1566,1734,1909,1848,2079,1785,1117,660,336,02/11/2011
000106,20110212,P,70,46,48,55,65,90,309,507,743,961,1081,1185,1126,1478,2002,1943,1870,1381,1023,772,572,322,192,97,02/12/2011
000106,20110212,S,181,155,118,87,111,122,936,2132,1678,1682,1952,1294,1126,1082,1219,1273,1217,1094,815,611,493,410,265,167,02/12/2011
000106,20110213,P,64,55,52,64,79,127,351,676,1015,1652,2350,2255,2386,2396,2245,1757,1365,1132,1220,1450,981,436,200,113,02/13/2011
000106,20110213,S,98,88,59,41,54,108,547,1594,1333,889,878,884,901,921,976,1057,963,853,655,519,398,253,175,109,02/13/2011
000106,20110214,P,41,43,60,63,107,278,591,749,842,937,986,904,972,1034,1079,1173,1158,836,512,335,248,157,112,88,02/14/2011
000106,20110214,S,90,95,56,76,149,160,352,594,918,1008,836,721,559,654,642,669,608,519,410,401,285,232,179,157,02/14/2011
000106,20110215,P,50,34,37,48,65,146,287,467,616,713,712,698,792,822,864,1235,1061,812,485,386,243,195,118,92,02/15/2011
000106,20110215,S,87,50,51,57,82,168,366,705,980,1079,866,485,691,502,666,630,794,568,445,423,346,272,213,155,02/15/2011
000106,20110216,P,68,50,48,54,62,120,240,463,593,750,719,750,831,999,1150,1190,1166,901,562,437,322,248,151,102,02/16/2011
000106,20110216,S,114,83,61,60,88,165,369,718,973,1077,556,864,495,817,633,842,1175,742,631,557,470,460,496,318,02/16/2011
000106,20110217,P,74,46,53,61,64,109,195,293,374,390,468,403,461,723,609,1145,1444,864,501,353,300,176,126,125,02/17/2011
