COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000120,20140101,P,102,91,86,50,65,171,247,448,662,1077,1444,2040,2273,2563,2606,2589,2446,2320,2045,1946,1654,1907,1753,312,01/01/2014
000120,20140101,S,131,162,153,104,108,225,999,2746,2405,2511,1996,1921,1729,1704,1617,1455,1281,820,608,542,426,327,245,191,01/01/2014
000120,20140102,P,133,89,94,82,164,352,794,874,1784,1551,1885,2047,2189,2255,2833,3169,3033,3074,2972,1268,820,540,331,225,01/02/2014
000120,20140102,S,143,89,100,92,180,347,931,2599,3213,3081,2460,2102,1732,1630,1584,1593,1438,1169,977,786,587,468,363,258,01/02/2014
000120,20140103,P,122,80,68,102,142,264,555,875,1106,1537,1958,2176,2254,2524,2946,3165,3285,3152,2975,2493,1127,679,427,251,01/03/2014
000120,20140103,S,163,108,108,113,203,330,947,2898,3213,3096,2787,2113,1761,1856,2054,2155,2339,2278,2096,2061,1384,910,563,330,01/03/2014
000120,20140104,P,171,101,72,86,102,135,347,488,705,1144,1463,2024,2110,1992,2017,2556,2364,1954,1973,1304,859,533,278,186,01/04/2014
000120,20140104,S,223,134,99,108,126,297,1246,2023,2383,2320,2362,1314,1156,1076,959,1298,990,855,558,634,418,297,240,165,01/04/2014
000120,20140105,P,102,75,63,68,96,170,310,554,921,1547,2377,2745,2802,2961,2805,2695,2317,1868,1722,1815,1810,1064,377,174,01/05/2014
000120,20140105,S,125,100,68,41,84,196,1297,2632,1839,1362,1220,1291,1180,1165,1236,1084,941,778,594,464,351,242,228,149,01/05/2014
000120,20140106,P,102,77,61,73,107,301,688,1063,1150,1126,1491,1507,1579,1709,1860,2142,2577,1766,1071,662,427,265,190,141,01/06/2014
000120,20140106,S,112,82,91,83,154,285,526,1289,1959,1899,1565,1312,1102,1016,1027,1110,1057,879,775,551,468,348,229,171,01/06/2014
000120,20140107,P,89,66,31,55,87,219,448,708,857,934,1119,1123,1225,1453,1804,2143,2388,1538,958,523,367,267,135,54,01/07/2014
000120,20140107,S,164,97,101,84,168,305,531,1365,2089,1867,1361,1088,1019,945,952,1046,976,888,720,646,519,389,310,161,01/07/2014
000120,20140108,P,62,90,83,76,87,177,398,699,786,934,1182,1245,1223,1309,1399,2203,2067,1543,817,350,39,191,167,116,01/08/2014
000120,20140108,S,107,84,44,83,174,285,569,1324,1929,1754,1279,1025,992,1017,1055,1077,1062,881,785,346,30,277,304,208,01/08/2014
000120,20140109,P,79,64,44,55,92,192,411,750,866,1092,1312,1433,1278,1868,2047,2183,2226,1509,985,564,367,290,206,153,01/09/2014
000120,20140109,S,135,99,90,82,172,284,635,1394,2179,1969,1408,1267,1080,1135,1199,1264,1286,1081,1091,821,750,593,472,334,01/09/2014
000120,20140110,P,149,147,73,61,98,192,368,613,758,868,608,717,1637,1718,1630,1797,1787,1659,1270,963,659,446,230,159,01/10/2014
000120,20140110,S,233,137,89,89,150,270,776,1057,2615,2036,1349,1240,1209,1377,1604,1866,2702,2642,2567,2238,1524,880,583,293,01/10/2014
000120,20140111,P,101,94,50,55,71,126,292,475,792,1043,1355,1727,1889,2241,2730,3214,3362,3197,3070,2090,1171,688,420,233,01/11/2014
000120,20140111,S,175,108,70,82,128,528,3085,3465,3256,2754,2872,1993,1545,1561,1447,1361,1176,1022,837,706,488,363,311,196,01/11/2014
000120,20140112,P,125,88,69,59,83,146,279,564,946,1438,2606,2411,1940,2315,2135,2210,1908,1991,1772,1869,1666,1122,411,130,01/12/2014
000120,20140112,S,135,77,71,52,80,211,1611,2343,1476,1211,1039,943,830,802,693,619,544,462,650,736,474,272,203,123,01/12/2014
000120,20140113,P,89,46,41,67,105,298,736,874,961,1381,1028,1018,1253,1399,1752,1898,1879,1462,952,541,381,233,169,107,01/13/2014
000120,20140113,S,109,89,58,86,168,326,702,1464,1606,1431,1177,1073,1013,912,898,887,871,785,618,473,386,289,192,134,01/13/2014
000120,20140114,P,75,56,47,39,66,168,399,546,668,699,666,827,1238,1130,1281,1535,1433,1307,1072,497,336,198,175,137,01/14/2014
000120,20140114,S,90,97,77,80,159,303,583,1361,1675,1360,955,804,713,707,781,812,822,731,596,414,383,286,209,119,01/14/2014
000120,20140115,P,73,74,76,48,99,207,436,651,777,839,978,1059,1283,1578,2005,2433,2459,1636,983,554,471,275,228,129,01/15/2014
000120,20140115,S,103,82,78,71,193,310,695,1893,2526,2022,1498,1167,1008,988,1101,1122,1066,911,765,710,521,490,392,170,01/15/2014
000120,20140116,P,99,69,44,79,91,194,434,624,742,913,1026,1052,1202,1409,1866,2186,2160,1612,868,605,426,307,225,152,01/16/2014
000120,20140116,S,148,115,96,108,180,335,697,1510,2061,1921,1427,1263,1162,1219,1308,1340,1528,1367,1316,1181,983,849,680,332,01/16/2014
000120,20140117,P,103,73,50,70,100,195,386,672,718,970,1092,1263,1350,1846,2319,2890,3055,2348,1337,862,608,430,274,152,01/17/2014
000120,20140117,S,214,137,100,112,176,273,857,2495,3094,2703,2187,1867,1775,1897,2194,2596,3270,3215,3093,3155,2873,1536,969,434,01/17/2014
000120,20140118,P,97,63,58,74,74,136,243,421,728,1074,1467,1763,1947,2451,2892,3192,3377,3239,3221,2333,1241,657,400,208,01/18/2014
000120,20140118,S,283,168,120,100,189,501,2926,3426,3350,3103,2963,3056,2325,1934,1893,1845,1671,1333,1153,909,666,500,350,205,01/18/2014
000120,20140119,P,104,91,48,82,74,134,209,520,1225,2436,3046,2881,2447,2072,2095,2449,2764,2800,1549,1491,1206,810,319,176,01/19/2014
000120,20140119,S,132,99,79,70,94,208,1432,2865,2168,1842,1627,1425,1241,1023,901,752,1002,1415,1020,685,528,407,251,169,01/19/2014
000120,20140120,P,88,75,45,97,142,358,844,1301,1473,2115,2868,3175,3279,3233,3335,3302,3272,3081,2060,1434,871,480,230,131,01/20/2014
000120,20140120,S,121,79,68,101,189,377,1102,2945,2894,2289,1879,1576,1315,1259,1219,1174,1029,880,686,507,406,346,219,135,01/20/2014
000120,20140121,P,84,68,46,63,122,281,624,997,981,1135,1249,1198,1310,1488,1617,1829,1842,1317,814,511,357,271,178,113,01/21/2014
000120,20140121,S,87,96,61,83,167,308,587,1173,1661,1501,1183,965,968,880,950,1054,1026,911,680,565,438,388,325,141,01/21/2014
000120,20140122,P,76,62,54,60,104,226,492,741,788,900,1017,1052,1087,1385,1660,1884,1761,1258,812,529,387,273,211,106,01/22/2014
000120,20140122,S,125,68,73,82,179,312,617,1265,1697,1558,1236,1042,1035,1009,1091,1139,1148,975,871,754,551,453,360,181,01/22/2014
000120,20140123,P,78,48,65,69,91,213,363,592,659,735,819,874,833,1127,1203,1453,1546,1358,783,544,394,293,192,99,01/23/2014
000120,20140123,S,123,83,103,86,139,254,375,764,1064,1269,1353,1194,1138,1161,1323,1359,1367,1242,1144,1026,749,660,512,278,01/23/2014
000120,20140124,P,82,59,52,59,88,205,453,596,724,913,1005,1178,1287,1571,1988,2457,2455,1770,1159,790,556,406,267,164,01/24/2014
000120,20140124,S,157,138,87,113,178,294,795,1867,2473,2372,2000,1731,1728,1899,2171,2678,3320,3390,3177,2963,2182,1208,725,398,01/24/2014
000120,20140125,P,94,76,58,44,77,147,273,470,704,1146,1309,1672,1700,2223,3029,2008,2859,3117,3033,3057,1390,813,463,229,01/25/2014
000120,20140125,S,213,142,111,121,167,539,2969,3413,3115,3065,3092,2577,2007,1855,1786,1725,1556,1220,1040,774,581,454,325,181,01/25/2014
000120,20140126,P,153,86,70,65,80,139,276,605,1051,2117,3205,3414,3513,3470,3437,3212,3182,3001,3049,2868,2027,1041,466,311,01/26/2014
000120,20140126,S,124,114,79,74,108,232,1785,2903,2027,1786,1677,1674,1478,1440,1382,1230,1254,1026,780,551,451,283,208,144,01/26/2014
000120,20140127,P,191,113,54,85,135,301,757,1214,1079,1110,1369,1401,1422,1367,1289,1231,1382,1123,797,525,352,181,122,109,01/27/2014
000120,20140127,S,94,85,66,70,168,254,504,846,1191,1194,959,837,795,795,710,750,601,558,489,414,345,236,165,136,01/27/2014
000120,20140128,P,83,41,47,42,79,192,392,619,688,811,837,1024,1118,1306,1423,1768,1709,1246,740,500,316,268,182,108,01/28/2014
